haircolor;hairpattern;sex;weight;age;foodtype;name
red;solid;female;4.6;12;other;Buttercup
black;tabby;female;5.5;6;dry;Zelda
white;tabby;female;5.6;8;wet;Coconut
red;tabby;female;6.1;5;dry;Diva
brown;solid;female;5.3;7;dry;Tinkerbell
black;tabby;male;6.9;5;wet;Biscuit
brown;solid;male;6.3;5;dry;Cyrano
black;colorpoint;female;5.5;4;wet;Chi-chi
white;tortoise;male;4.3;5;wet;Killer
red;solid;female;2.3;3;dry;Vixen
black;tabby;male;3.6;8;wet;Chubby
black;solid;female;6.7;5;dry;Yoko
brown;tipped;male;5.2;7;dry;Ninja
brown;tabby;male;4.6;5;wet;Bacon
black;solid;male;5.1;6;dry;Homer
black;tipped;male;5.5;6;dry;Bertrand
black;tipped;male;6.3;4;dry;Flash
white;tabby;male;4.1;8;wet;Snowball
red;colorpoint;female;3.9;8;dry;Xena
red;tabby;female;4.6;7;dry;Sorbet
black;solid;male;4;5;wet;Taco
white;colorpoint;male;3.5;6;dry;Meow
brown;colorpoint;female;4.4;6;other;Mouse
brown;colorpoint;male;5.6;4;dry;Cupcake
red;tortoise;female;5.9;8;wet;Chica
black;solid;male;5.9;6;wet;Geek
black;tabby;female;4.1;7;wet;Bean
white;tipped;male;6.2;7;dry;Heathcliff
brown;tabby;male;5.7;8;dry;Mario
black;tabby;male;5.6;4;dry;Grumpy
black;tabby;male;5.5;6;wet;Chewie
brown;tipped;female;6.1;3;dry;Opera
black;colorpoint;female;5.5;5;dry;Princess
white;solid;female;6;5;dry;Chantilly
black;tipped;male;7.5;4;dry;Waldo
black;colorpoint;female;5.4;12;other;Honey
black;solid;female;3.9;10;wet;Charcoal
brown;tabby;female;3.8;6;dry;Fuzzy
black;tabby;male;3.5;3;dry;Yoda
black;colorpoint;male;4.5;8;dry;Slidy
black;tortoise;female;5.1;8;dry;Fluffy
red;tabby;female;5.6;8;dry;Foxy
black;tabby;female;4.7;7;dry;Squats
black;solid;male;5.9;11;dry;Waffles
red;colorpoint;male;5.9;17;wet;Caesar
black;solid;male;5.6;6;dry;Gwegwek
black;tabby;male;6.1;5;dry;Chuck Norris
red;colorpoint;female;5.5;5;dry;Ginger
black;tabby;male;6.4;5;dry;Cheezburger
black;tabby;male;5.2;5;dry;Alf
black;solid;female;2.8;11;dry;Spice
white;solid;female;3.2;4;other;Cream
black;tortoise;male;4.7;6;dry;Archie
red;solid;male;5.5;6;dry;Zorro
black;tabby;female;4.3;10;wet;Sly
white;tipped;male;5.6;5;wet;Sing-Song
white;tabby;male;3.5;5;dry;Albus
brown;solid;female;5.4;5;other;Jane
black;tabby;female;1.9;17;dry;Gums
black;colorpoint;male;4.4;6;dry;Picasso
black;colorpoint;male;5;4;dry;Zombie
black;tortoise;female;4.2;7;wet;June
black;tabby;female;3.4;6;wet;Fifi
black;tabby;male;4.4;6;dry;Pikachu
black;solid;female;5.3;10;dry;Peanut
red;tabby;female;4.6;3;dry;Hipster
black;tabby;female;4.3;4;dry;Birdy
white;tabby;female;4.3;6;dry;Bella
black;colorpoint;male;7.1;5;wet;Churchill
black;tortoise;female;3.8;8;dry;Midnight
black;tipped;male;4;3;wet;Walter
white;colorpoint;male;4.6;4;wet;Ghost
red;tipped;male;4.5;3;dry;Peanut
black;tabby;female;5.1;6;dry;Shadow
brown;tipped;male;4.8;3;dry;Simba
black;colorpoint;male;3.7;3;wet;Dexter
red;solid;male;4.1;5;wet;Smartypants
brown;tabby;female;4.1;4;dry;Chip
black;solid;female;4.8;6;dry;Molly
black;tortoise;female;3.7;4;wet;Nala
brown;tabby;male;5;8;dry;Little Joe
red;tortoise;female;3.4;13;wet;Pumpkin
black;tipped;female;3.8;4;dry;Zoe
black;tabby;male;5.7;11;dry;Oreo
black;tortoise;male;5.1;7;dry;Nugget
black;tabby;male;5.8;4;dry;Rocky Balboa
black;solid;male;5.5;4;dry;Bandit
white;tabby;female;4.8;6;wet;Kisses
brown;solid;female;5.9;8;dry;Daisy
red;tabby;male;6.1;7;dry;Brains
black;tipped;male;5.4;5;wet;Banjo
black;tabby;female;7;5;wet;Fiona
black;solid;female;3.5;4;dry;Precious
red;tabby;female;4.5;3;dry;Garfield
white;tipped;male;4.6;7;dry;Casper
black;tabby;male;5.2;5;dry;Muffin
brown;tabby;male;4.2;8;dry;Frankie
brown;tipped;female;4.4;3;dry;Sugar
