"haircolor";"hairpattern";"sex";"weight";"age";"foodtype"
"red";"solid";"female";4.6;12;"other"
"black";"tabby";"female";5.5;6;"dry"
"white";"tabby";"female";5.6;8;"wet"
"red";"tabby";"female";6.1;5;"dry"
"brown";"solid";"female";5.3;7;"dry"
"black";"tabby";"male";6.9;5;"wet"
"brown";"solid";"male";6.3;5;"dry"
"black";"colorpoint";"female";5.5;4;"wet"
"white";"tortoise";"male";4.3;5;"wet"
"red";"solid";"female";2.3;3;"dry"
"black";"tabby";"male";3.6;8;"wet"
"black";"solid";"female";6.7;5;"dry"
"brown";"tipped";"male";5.2;7;"dry"
"brown";"tabby";"male";4.6;5;"wet"
"black";"solid";"male";5.1;6;"dry"
"black";"tipped";"male";5.5;6;"dry"
"black";"tipped";"male";6.3;4;"dry"
"white";"tabby";"male";4.1;8;"wet"
"red";"colorpoint";"female";3.9;8;"dry"
"red";"tabby";"female";4.6;7;"dry"
"black";"solid";"male";4;5;"wet"
"white";"colorpoint";"male";3.5;6;"dry"
"brown";"colorpoint";"female";4.4;6;"other"
"brown";"colorpoint";"male";5.6;4;"dry"
"red";"tortoise";"female";5.9;8;"wet"
"black";"solid";"male";5.9;6;"wet"
"black";"tabby";"female";4.1;7;"wet"
"white";"tipped";"male";6.2;7;"dry"
"brown";"tabby";"male";5.7;8;"dry"
"black";"tabby";"male";5.6;4;"dry"
"black";"tabby";"male";5.5;6;"wet"
"brown";"tipped";"female";6.1;3;"dry"
"black";"colorpoint";"female";5.5;5;"dry"
"white";"solid";"female";6;5;"dry"
"black";"tipped";"male";7.5;4;"dry"
"black";"colorpoint";"female";5.4;12;"other"
"black";"solid";"female";3.9;10;"wet"
"brown";"tabby";"female";3.8;6;"dry"
"black";"tabby";"male";3.5;3;"dry"
"black";"colorpoint";"male";4.5;8;"dry"
"black";"tortoise";"female";5.1;8;"dry"
"red";"tabby";"female";5.6;8;"dry"
"black";"tabby";"female";4.7;7;"dry"
"black";"solid";"male";5.9;11;"dry"
"red";"colorpoint";"male";5.9;17;"wet"
"black";"solid";"male";5.6;6;"dry"
"black";"tabby";"male";6.1;5;"dry"
"red";"colorpoint";"female";5.5;5;"dry"
"black";"tabby";"male";6.4;5;"dry"
"black";"tabby";"male";5.2;5;"dry"
"black";"solid";"female";2.8;11;"dry"
"white";"solid";"female";3.2;4;"other"
"black";"tortoise";"male";4.7;6;"dry"
"red";"solid";"male";5.5;6;"dry"
"black";"tabby";"female";4.3;10;"wet"
"white";"tipped";"male";5.6;5;"wet"
"white";"tabby";"male";3.5;5;"dry"
"brown";"solid";"female";5.4;5;"other"
"black";"tabby";"female";1.9;17;"dry"
"black";"colorpoint";"male";4.4;6;"dry"
"black";"colorpoint";"male";5;4;"dry"
"black";"tortoise";"female";4.2;7;"wet"
"black";"tabby";"female";3.4;6;"wet"
"black";"tabby";"male";4.4;6;"dry"
"black";"solid";"female";5.3;10;"dry"
"red";"tabby";"female";4.6;3;"dry"
"black";"tabby";"female";4.3;4;"dry"
"white";"tabby";"female";4.3;6;"dry"
"black";"colorpoint";"male";7.1;5;"wet"
"black";"tortoise";"female";3.8;8;"dry"
"black";"tipped";"male";4;3;"wet"
"white";"colorpoint";"male";4.6;4;"wet"
"red";"tipped";"male";4.5;3;"dry"
"black";"tabby";"female";5.1;6;"dry"
"brown";"tipped";"male";4.8;3;"dry"
"black";"colorpoint";"male";3.7;3;"wet"
"red";"solid";"male";4.1;5;"wet"
"brown";"tabby";"female";4.1;4;"dry"
"black";"solid";"female";4.8;6;"dry"
"black";"tortoise";"female";3.7;4;"wet"
"brown";"tabby";"male";5;8;"dry"
"red";"tortoise";"female";3.4;13;"wet"
"black";"tipped";"female";3.8;4;"dry"
"black";"tabby";"male";5.7;11;"dry"
"black";"tortoise";"male";5.1;7;"dry"
"black";"tabby";"male";5.8;4;"dry"
"black";"solid";"male";5.5;4;"dry"
"white";"tabby";"female";4.8;6;"wet"
"brown";"solid";"female";5.9;8;"dry"
"red";"tabby";"male";6.1;7;"dry"
"black";"tipped";"male";5.4;5;"wet"
"black";"tabby";"female";7;5;"wet"
"black";"solid";"female";3.5;4;"dry"
"red";"tabby";"female";4.5;3;"dry"
"white";"tipped";"male";4.6;7;"dry"
"black";"tabby";"male";5.2;5;"dry"
"brown";"tabby";"male";4.2;8;"dry"
"brown";"tipped";"female";4.4;3;"dry"
"black";"solid";"female";5.4;5;"dry"
"black";"solid";"male";5.2;6;"dry"
"brown";"tipped";"male";5;8;"dry"
"black";"tipped";"female";6.7;3;"dry"
"black";"tabby";"male";5.1;4;"wet"
"red";"solid";"male";4.7;9;"wet"
"black";"tabby";"male";6.3;7;"dry"
"black";"solid";"male";4.2;7;"wet"
"brown";"tipped";"female";2.9;8;"dry"
"white";"tabby";"male";4.8;9;"wet"
"red";"tabby";"female";6.6;7;"dry"
"red";"tabby";"female";3.3;7;"wet"
"black";"tortoise";"female";4.9;7;"wet"
"black";"tortoise";"female";4.8;5;"dry"
"black";"tortoise";"male";5.4;4;"dry"
"black";"tipped";"male";4.9;6;"dry"
"red";"tortoise";"female";4.8;7;"dry"
"black";"solid";"female";5.3;3;"dry"
"red";"tabby";"male";4;4;"other"
"black";"solid";"male";7.1;5;"wet"
"black";"tortoise";"male";5;8;"dry"
"white";"tipped";"female";5.8;5;"dry"
"black";"tabby";"female";3.9;6;"other"
"brown";"solid";"male";5.9;4;"dry"
"red";"tipped";"female";3.8;4;"dry"
"black";"tabby";"male";4.4;7;"dry"
"white";"tortoise";"male";5.3;4;"dry"
"black";"tipped";"female";3.1;7;"dry"
"black";"tipped";"female";5.7;4;"dry"
"white";"solid";"male";2.5;3;"wet"
"brown";"tabby";"female";5.1;9;"wet"
"black";"tabby";"male";5.7;5;"dry"
"white";"tabby";"male";4;4;"dry"
"red";"tabby";"female";6.5;9;"dry"
"red";"tortoise";"female";3.5;7;"other"
"black";"tabby";"male";5.9;11;"dry"
"white";"solid";"female";4.8;7;"dry"
"white";"tabby";"male";5.1;2;"dry"
"black";"solid";"female";6.2;17;"dry"
"red";"tabby";"female";4.4;5;"dry"
"red";"solid";"female";4.5;5;"wet"
"red";"tortoise";"male";4.8;9;"dry"
"black";"colorpoint";"male";3.8;4;"dry"
"white";"solid";"female";4.7;9;"dry"
"white";"colorpoint";"male";4.5;5;"dry"
"red";"tabby";"female";5.1;3;"dry"
"white";"tortoise";"male";6.4;4;"wet"
"black";"tabby";"female";2.6;10;"dry"
"black";"colorpoint";"male";4.5;4;"dry"
"black";"tabby";"female";4.1;3;"wet"
"brown";"tabby";"female";6.3;3;"dry"
"black";"tabby";"female";5.2;5;"wet"
"brown";"tabby";"female";4.3;3;"other"
"red";"tabby";"male";3.8;4;"wet"
"black";"tortoise";"male";4.2;6;"dry"
